scenario_name,fold,approach,normalized_par_10
SAT11-RAND,9.0,ours,inf
SAT11-RAND,10.0,ours,inf
SAT12-ALL,1.0,ours,inf
SAT12-ALL,2.0,ours,inf
SAT12-ALL,3.0,ours,inf
SAT12-ALL,4.0,ours,inf
SAT12-ALL,5.0,ours,inf
SAT12-ALL,6.0,ours,inf
SAT12-ALL,7.0,ours,inf
SAT12-ALL,8.0,ours,inf
SAT12-ALL,9.0,ours,inf
SAT12-ALL,10.0,ours,inf
SAT12-HAND,1.0,ours,inf
SAT12-HAND,2.0,ours,inf
SAT12-HAND,3.0,ours,inf
SAT12-HAND,4.0,ours,inf
SAT12-HAND,5.0,ours,inf
SAT12-HAND,6.0,ours,inf
SAT12-HAND,7.0,ours,inf
SAT12-HAND,8.0,ours,inf
SAT12-HAND,9.0,ours,inf
SAT12-HAND,10.0,ours,inf
SAT12-INDU,1.0,ours,inf
SAT12-INDU,2.0,ours,inf
SAT12-INDU,3.0,ours,inf
SAT12-INDU,4.0,ours,inf
SAT12-INDU,5.0,ours,inf
SAT12-INDU,6.0,ours,inf
SAT12-INDU,7.0,ours,inf
SAT12-INDU,8.0,ours,inf
SAT12-INDU,9.0,ours,inf
SAT12-INDU,10.0,ours,inf
SAT12-RAND,1.0,ours,inf
SAT12-RAND,2.0,ours,inf
SAT12-RAND,3.0,ours,inf
SAT12-RAND,4.0,ours,inf
SAT12-RAND,5.0,ours,inf
SAT12-RAND,6.0,ours,inf
SAT12-RAND,7.0,ours,inf
SAT12-RAND,8.0,ours,inf
SAT12-RAND,9.0,ours,inf
SAT12-RAND,10.0,ours,inf
SAT15-INDU,1.0,ours,inf
SAT15-INDU,2.0,ours,inf
SAT15-INDU,3.0,ours,inf
SAT15-INDU,4.0,ours,inf
SAT15-INDU,5.0,ours,inf
SAT15-INDU,6.0,ours,inf
SAT15-INDU,7.0,ours,inf
SAT15-INDU,8.0,ours,inf
SAT15-INDU,9.0,ours,inf
SAT15-INDU,10.0,ours,inf
SAT16-MAIN,1.0,ours,inf
SAT16-MAIN,2.0,ours,inf
SAT16-MAIN,3.0,ours,inf
SAT16-MAIN,4.0,ours,inf
SAT16-MAIN,5.0,ours,inf
SAT16-MAIN,6.0,ours,inf
SAT16-MAIN,7.0,ours,inf
SAT16-MAIN,8.0,ours,inf
SAT16-MAIN,9.0,ours,inf
SAT16-MAIN,10.0,ours,inf
SAT18-EXP,1.0,ours,inf
SAT18-EXP,2.0,ours,inf
SAT18-EXP,3.0,ours,inf
SAT18-EXP,4.0,ours,inf
SAT18-EXP,5.0,ours,inf
SAT18-EXP,6.0,ours,inf
SAT18-EXP,7.0,ours,inf
SAT18-EXP,8.0,ours,inf
SAT18-EXP,9.0,ours,inf
SAT18-EXP,10.0,ours,inf
TSP-LION2015,1.0,ours,inf
TSP-LION2015,2.0,ours,inf
TSP-LION2015,3.0,ours,inf
TSP-LION2015,4.0,ours,inf
TSP-LION2015,5.0,ours,inf
TSP-LION2015,6.0,ours,inf
TSP-LION2015,7.0,ours,inf
TSP-LION2015,8.0,ours,inf
TSP-LION2015,9.0,ours,inf
TSP-LION2015,10.0,ours,inf
PROTEUS-2014,1.0,ours,inf
PROTEUS-2014,2.0,ours,inf
PROTEUS-2014,3.0,ours,inf
PROTEUS-2014,4.0,ours,inf
PROTEUS-2014,5.0,ours,inf
PROTEUS-2014,6.0,ours,inf
PROTEUS-2014,7.0,ours,inf
PROTEUS-2014,8.0,ours,inf
PROTEUS-2014,9.0,ours,inf
PROTEUS-2014,10.0,ours,inf
MAXSAT15-PMS-INDU,1.0,ours,inf
MAXSAT15-PMS-INDU,2.0,ours,inf
MAXSAT15-PMS-INDU,3.0,ours,inf
MAXSAT15-PMS-INDU,4.0,ours,inf
MAXSAT15-PMS-INDU,5.0,ours,inf
MAXSAT15-PMS-INDU,6.0,ours,inf
MAXSAT15-PMS-INDU,7.0,ours,inf
MAXSAT15-PMS-INDU,8.0,ours,inf
MAXSAT15-PMS-INDU,9.0,ours,inf
MAXSAT15-PMS-INDU,10.0,ours,inf
MIP-2016,1.0,ours,inf
MIP-2016,2.0,ours,inf
MIP-2016,3.0,ours,inf
MIP-2016,4.0,ours,inf
MIP-2016,5.0,ours,inf
MIP-2016,6.0,ours,inf
MIP-2016,7.0,ours,inf
MIP-2016,8.0,ours,inf
MIP-2016,9.0,ours,inf
MIP-2016,10.0,ours,inf
GLUHACK-2018,1.0,ours,inf
GLUHACK-2018,2.0,ours,inf
GLUHACK-2018,3.0,ours,inf
GLUHACK-2018,4.0,ours,inf
GLUHACK-2018,5.0,ours,inf
GLUHACK-2018,6.0,ours,inf
GLUHACK-2018,7.0,ours,inf
GLUHACK-2018,8.0,ours,inf
GLUHACK-2018,9.0,ours,inf
GLUHACK-2018,10.0,ours,inf
SAT20-MAIN,1.0,ours,inf
SAT20-MAIN,2.0,ours,inf
SAT20-MAIN,3.0,ours,inf
SAT20-MAIN,4.0,ours,inf
SAT20-MAIN,5.0,ours,inf
SAT20-MAIN,6.0,ours,inf
SAT20-MAIN,7.0,ours,inf
SAT20-MAIN,8.0,ours,inf
SAT20-MAIN,9.0,ours,inf
SAT20-MAIN,10.0,ours,inf
TTP-2016,1.0,ours,inf
TTP-2016,2.0,ours,inf
TTP-2016,3.0,ours,inf
TTP-2016,4.0,ours,inf
TTP-2016,5.0,ours,inf
TTP-2016,6.0,ours,inf
TTP-2016,7.0,ours,inf
TTP-2016,8.0,ours,inf
TTP-2016,9.0,ours,inf
TTP-2016,10.0,ours,inf
OPENML-WEKA-2017,1.0,ours,inf
OPENML-WEKA-2017,2.0,ours,inf
OPENML-WEKA-2017,3.0,ours,inf
OPENML-WEKA-2017,4.0,ours,inf
OPENML-WEKA-2017,5.0,ours,inf
OPENML-WEKA-2017,6.0,ours,inf
OPENML-WEKA-2017,7.0,ours,inf
OPENML-WEKA-2017,8.0,ours,inf
OPENML-WEKA-2017,9.0,ours,inf
OPENML-WEKA-2017,10.0,ours,inf
