approach,fold,metric,num_solvers_in_schedule,result,scenario_name
sbs,2.0,par10,,3422.54,SAT03-16_INDU
sbs,2.0,number_unsolved_instances_False,,0.07,SAT03-16_INDU
sbs,2.0,number_unsolved_instances_True,,0.09,SAT03-16_INDU
sbs,2.0,par10,,6292.52,SAT11-HAND
sbs,2.0,number_unsolved_instances_False,,0.1,SAT11-HAND
sbs,2.0,number_unsolved_instances_True,,0.1,SAT11-HAND
oracle,2.0,par10,,884.03,SAT11-HAND
sbs,2.0,par10,,5009.82,SAT11-INDU
sbs,2.0,number_unsolved_instances_False,,0.09,SAT11-INDU
sbs,2.0,number_unsolved_instances_True,,0.09,SAT11-INDU
oracle,2.0,par10,,485.72,SAT11-INDU
sbs,2.0,par10,,14626.36,SAT11-RAND
sbs,2.0,number_unsolved_instances_False,,0.3,SAT11-RAND
sbs,2.0,number_unsolved_instances_True,,0.29,SAT11-RAND
oracle,2.0,par10,,240.21,SAT11-RAND
sbs,2.0,par10,,2826.48,SAT12-ALL
sbs,2.0,number_unsolved_instances_False,,0.23,SAT12-ALL
sbs,2.0,number_unsolved_instances_True,,0.23,SAT12-ALL
oracle,2.0,par10,,78.84,SAT12-ALL
sbs,2.0,par10,,3793.94,SAT12-HAND
sbs,2.0,number_unsolved_instances_False,,0.31,SAT12-HAND
sbs,2.0,number_unsolved_instances_True,,0.31,SAT12-HAND
oracle,2.0,par10,,87.14,SAT12-HAND
sbs,2.0,par10,,1410.79,SAT12-INDU
sbs,2.0,number_unsolved_instances_False,,0.11,SAT12-INDU
sbs,2.0,number_unsolved_instances_True,,0.11,SAT12-INDU
oracle,2.0,par10,,80.09,SAT12-INDU
sbs,2.0,par10,,583.4,SAT12-RAND
sbs,2.0,number_unsolved_instances_False,,0.05,SAT12-RAND
sbs,2.0,number_unsolved_instances_True,,0.05,SAT12-RAND
oracle,2.0,par10,,48.86,SAT12-RAND
sbs,2.0,par10,,3116.53,SAT15-INDU
sbs,2.0,number_unsolved_instances_False,,0.07,SAT15-INDU
sbs,2.0,number_unsolved_instances_True,,0.07,SAT15-INDU
oracle,2.0,par10,,220.24,SAT15-INDU
sbs,2.0,par10,,54.94,TSP-LION2015
sbs,2.0,number_unsolved_instances_False,,0.0,TSP-LION2015
sbs,2.0,number_unsolved_instances_True,,0.0,TSP-LION2015
sbs,3.0,par10,,393.84,ASP-POTASSCO
sbs,3.0,number_unsolved_instances_False,,0.06,ASP-POTASSCO
sbs,3.0,number_unsolved_instances_True,,0.06,ASP-POTASSCO
sbs,3.0,par10,,7627.49,BNSL-2016
sbs,3.0,number_unsolved_instances_False,,0.1,BNSL-2016
sbs,3.0,number_unsolved_instances_True,,0.1,BNSL-2016
sbs,3.0,par10,,7028.58,CPMP-2015
sbs,3.0,number_unsolved_instances_False,,0.19,CPMP-2015
sbs,3.0,number_unsolved_instances_True,,0.19,CPMP-2015
sbs,3.0,par10,,1801.02,CSP-2010
sbs,3.0,number_unsolved_instances_False,,0.04,CSP-2010
sbs,3.0,number_unsolved_instances_True,,0.04,CSP-2010
oracle,3.0,par10,,125.23,CSP-2010
sbs,3.0,par10,,6304.83,CSP-MZN-2013
sbs,3.0,number_unsolved_instances_False,,0.34,CSP-MZN-2013
oracle,3.0,par10,,127.08,CSP-MZN-2013
sbs,3.0,number_unsolved_instances_True,,0.34,CSP-MZN-2013
sbs,3.0,par10,,1359.23,CSP-Minizinc-Time-2016
sbs,3.0,number_unsolved_instances_False,,0.11,CSP-Minizinc-Time-2016
sbs,3.0,number_unsolved_instances_True,,0.11,CSP-Minizinc-Time-2016
oracle,3.0,par10,,5.28,CSP-Minizinc-Time-2016
sbs,3.0,par10,,516678.52,GRAPHS-2015
sbs,3.0,number_unsolved_instances_False,,0.0,GRAPHS-2015
sbs,3.0,number_unsolved_instances_True,,0.0,GRAPHS-2015
sbs,3.0,par10,,677.1,MAXSAT-PMS-2016
sbs,3.0,number_unsolved_instances_False,,0.04,MAXSAT-PMS-2016
sbs,3.0,number_unsolved_instances_True,,0.04,MAXSAT-PMS-2016
oracle,3.0,par10,,18.27,MAXSAT-PMS-2016
sbs,3.0,par10,,2274.15,MAXSAT-WPMS-2016
sbs,3.0,number_unsolved_instances_False,,0.12,MAXSAT-WPMS-2016
sbs,3.0,number_unsolved_instances_True,,0.12,MAXSAT-WPMS-2016
oracle,3.0,par10,,118.67,MAXSAT-WPMS-2016
sbs,3.0,par10,,1588.26,MAXSAT12-PMS
sbs,3.0,number_unsolved_instances_False,,0.07,MAXSAT12-PMS
sbs,3.0,number_unsolved_instances_True,,0.07,MAXSAT12-PMS
oracle,3.0,par10,,34.22,MAXSAT12-PMS
sbs,3.0,par10,,1307.05,MAXSAT15-PMS-INDU
sbs,3.0,number_unsolved_instances_False,,0.07,MAXSAT15-PMS-INDU
sbs,3.0,number_unsolved_instances_True,,0.07,MAXSAT15-PMS-INDU
oracle,3.0,par10,,38.06,MAXSAT15-PMS-INDU
sbs,3.0,par10,,6709.45,MIP-2016
sbs,3.0,number_unsolved_instances_False,,0.09,MIP-2016
sbs,3.0,number_unsolved_instances_True,,0.09,MIP-2016
oracle,3.0,par10,,186.64,MIP-2016
sbs,3.0,par10,,10142.82,PROTEUS-2014
sbs,3.0,number_unsolved_instances_False,,0.28,PROTEUS-2014
sbs,3.0,number_unsolved_instances_True,,0.28,PROTEUS-2014
sbs,3.0,par10,,11922.77,QBF-2011
sbs,3.0,number_unsolved_instances_False,,0.33,QBF-2011
sbs,3.0,number_unsolved_instances_True,,0.33,QBF-2011
oracle,3.0,par10,,106.15,QBF-2011
sbs,3.0,par10,,2002.26,QBF-2014
sbs,3.0,number_unsolved_instances_False,,0.21,QBF-2014
sbs,3.0,number_unsolved_instances_True,,0.21,QBF-2014
oracle,3.0,par10,,33.56,QBF-2014
sbs,3.0,par10,,1883.05,QBF-2016
sbs,3.0,number_unsolved_instances_False,,0.1,QBF-2016
sbs,3.0,number_unsolved_instances_True,,0.1,QBF-2016
oracle,3.0,par10,,4.35,QBF-2016
sbs,3.0,par10,,3547.67,SAT03-16_INDU
sbs,3.0,number_unsolved_instances_False,,0.07,SAT03-16_INDU
sbs,3.0,number_unsolved_instances_True,,0.09,SAT03-16_INDU
sbs,3.0,par10,,14985.47,SAT11-HAND
sbs,3.0,number_unsolved_instances_False,,0.29,SAT11-HAND
sbs,3.0,number_unsolved_instances_True,,0.29,SAT11-HAND
oracle,3.0,par10,,385.78,SAT11-HAND
sbs,3.0,par10,,6808.99,SAT11-INDU
sbs,3.0,number_unsolved_instances_False,,0.12,SAT11-INDU
sbs,3.0,number_unsolved_instances_True,,0.12,SAT11-INDU
oracle,3.0,par10,,409.45,SAT11-INDU
sbs,3.0,par10,,6958.33,SAT11-RAND
sbs,3.0,number_unsolved_instances_False,,0.14,SAT11-RAND
sbs,3.0,number_unsolved_instances_True,,0.14,SAT11-RAND
oracle,3.0,par10,,32.51,SAT11-RAND
sbs,3.0,par10,,3144.94,SAT12-ALL
sbs,3.0,number_unsolved_instances_False,,0.25,SAT12-ALL
sbs,3.0,number_unsolved_instances_True,,0.25,SAT12-ALL
oracle,3.0,par10,,91.73,SAT12-ALL
sbs,3.0,par10,,3435.33,SAT12-HAND
sbs,3.0,number_unsolved_instances_False,,0.28,SAT12-HAND
sbs,3.0,number_unsolved_instances_True,,0.28,SAT12-HAND
oracle,3.0,par10,,92.5,SAT12-HAND
sbs,3.0,par10,,1088.28,SAT12-INDU
sbs,3.0,number_unsolved_instances_False,,0.08,SAT12-INDU
sbs,3.0,number_unsolved_instances_True,,0.08,SAT12-INDU
oracle,3.0,par10,,75.22,SAT12-INDU
sbs,3.0,par10,,637.37,SAT12-RAND
sbs,3.0,number_unsolved_instances_False,,0.05,SAT12-RAND
sbs,3.0,number_unsolved_instances_True,,0.05,SAT12-RAND
oracle,3.0,par10,,52.65,SAT12-RAND
sbs,3.0,par10,,3038.61,SAT15-INDU
sbs,3.0,number_unsolved_instances_False,,0.07,SAT15-INDU
sbs,3.0,number_unsolved_instances_True,,0.07,SAT15-INDU
oracle,3.0,par10,,155.18,SAT15-INDU
sbs,3.0,par10,,277.16,TSP-LION2015
sbs,3.0,number_unsolved_instances_False,,0.01,TSP-LION2015
sbs,3.0,number_unsolved_instances_True,,0.01,TSP-LION2015
sbs,4.0,par10,,467.59,ASP-POTASSCO
sbs,4.0,number_unsolved_instances_False,,0.07,ASP-POTASSCO
sbs,4.0,number_unsolved_instances_True,,0.07,ASP-POTASSCO
sbs,4.0,par10,,8835.18,BNSL-2016
sbs,4.0,number_unsolved_instances_False,,0.12,BNSL-2016
sbs,4.0,number_unsolved_instances_True,,0.12,BNSL-2016
sbs,4.0,par10,,4944.58,CPMP-2015
sbs,4.0,number_unsolved_instances_False,,0.13,CPMP-2015
sbs,4.0,number_unsolved_instances_True,,0.13,CPMP-2015
sbs,4.0,par10,,376.58,CSP-2010
sbs,4.0,number_unsolved_instances_False,,0.01,CSP-2010
sbs,4.0,number_unsolved_instances_True,,0.01,CSP-2010
oracle,4.0,par10,,54.24,CSP-2010
sbs,4.0,par10,,6693.0,CSP-MZN-2013
sbs,4.0,number_unsolved_instances_False,,0.37,CSP-MZN-2013
sbs,4.0,number_unsolved_instances_True,,0.37,CSP-MZN-2013
oracle,4.0,par10,,100.96,CSP-MZN-2013
sbs,4.0,par10,,2670.57,CSP-Minizinc-Time-2016
sbs,4.0,number_unsolved_instances_False,,0.22,CSP-Minizinc-Time-2016
